,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative
91,2010,7-Austin,Female,Hispanic,Birth to Five Years Old,30.0,27.0,6.0,1.0,6.0,2.0,,,58,40,212,5.3,10.0,10.0,52.0,39.0,54.0,37.0
92,2010,7-Austin,Female,Hispanic,Six to Twelve Years Old,35.0,13.0,2.0,4.0,3.0,2.0,,,39,39,639,16.384615384615383,14.0,14.0,50.0,47.0,56.0,41.0
93,2010,7-Austin,Female,Other,Birth to Five Years Old,8.0,,,,1.0,,,,8,1,2,2.0,8.0,10.0,3.0,5.0,5.0,3.0
94,2010,7-Austin,Male,African American,Birth to Five Years Old,23.0,39.0,12.0,1.0,4.0,5.0,1.0,1.0,57,48,371,7.729166666666667,10.0,10.0,50.0,35.0,56.0,29.0
95,2010,7-Austin,Male,African American,Six to Twelve Years Old,11.0,19.0,3.0,10.0,15.0,2.0,,1.0,40,41,1171,28.5609756097561,14.0,14.0,56.0,34.0,63.0,27.0
96,2010,7-Austin,Male,Anglo,Birth to Five Years Old,15.0,60.0,12.0,5.0,8.0,8.0,1.0,,70,32,206,6.4375,10.0,10.0,54.0,54.0,57.0,51.0
97,2010,7-Austin,Male,Anglo,Six to Twelve Years Old,8.0,33.0,2.0,13.0,14.0,6.0,,1.0,43,31,636,20.516129032258064,14.0,14.0,63.0,51.0,68.0,46.0
98,2010,7-Austin,Male,Hispanic,Birth to Five Years Old,38.0,36.0,14.0,,,5.0,,,69,54,237,4.388888888888889,10.0,10.0,50.0,36.0,54.0,32.0
99,2010,7-Austin,Male,Hispanic,Six to Twelve Years Old,30.0,6.0,,9.0,11.0,4.0,,,31,33,620,18.78787878787879,14.0,14.0,57.0,34.0,60.0,31.0
100,2010,7-Austin,Male,Other,Birth to Five Years Old,10.0,,,,1.0,,,,3,3,10,3.3333333333333335,10.0,10.0,8.0,12.0,9.0,11.0
101,2010,8-San Antonio,Female,African American,Birth to Five Years Old,18.0,21.0,11.0,,1.0,1.0,,,38,27,244,9.037037037037036,10.0,10.0,23.0,10.0,24.0,9.0
102,2010,8-San Antonio,Female,African American,Six to Twelve Years Old,8.0,19.0,,2.0,1.0,,,,25,20,735,36.75,14.0,14.0,24.0,12.0,28.0,8.0
