,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions,Fiscal Year_2010,Fiscal Year_2011,Fiscal Year_2012,Fiscal Year_2013,Fiscal Year_2014,Fiscal Year_2015,Fiscal Year_2016,Fiscal Year_2017,Fiscal Year_2018,Fiscal Year_2019,Region_1-Lubbock,Region_10-El Paso,Region_11-Edinburg,Region_2-Abilene,Region_3-Arlington,Region_4-Tyler,Region_5-Beaumont,Region_6-Houston,Region_7-Austin,Region_8-San Antonio,Region_9-Midland,Race/Ethnicity_African American,Race/Ethnicity_Anglo,Race/Ethnicity_Asian,Race/Ethnicity_Hispanic,Race/Ethnicity_Other,Age Group_Birth to Five Years Old,Age Group_Six to Twelve Years Old,Age Group_Thirteen to Seventeen Years Old,Gender_Female,Gender_Male
44,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3,33,11.0,6.0,10.0,17.0,1.0,17.0,1.0,0.0,18.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
45,0.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,11,7,70,10.0,10.0,10.0,29.0,19.0,29.0,19.0,0.0,48.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
46,3.0,12.0,0.0,6.0,3.0,0.0,0.0,0.0,15,11,269,24.45454545454545,14.0,14.0,35.0,16.0,35.0,16.0,15.0,51.0,22.727272727272727,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
47,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1,7,228,32.57142857142857,10.0,10.0,31.0,8.0,32.0,7.0,0.0,39.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
48,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,13,6,54,9.0,10.0,10.0,21.0,17.0,22.0,16.0,11.0,38.0,22.448979591836736,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
49,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4,6,90,15.0,14.0,14.0,24.0,8.0,26.0,6.0,0.0,32.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
50,10.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,12,1,11,11.0,10.0,10.0,12.0,8.0,13.0,7.0,12.0,20.0,37.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
51,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3,12,292,24.33333333333333,14.0,14.0,22.0,5.0,22.0,5.0,0.0,27.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
52,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,3,119,39.66666666666666,8.0,10.0,18.0,3.0,19.0,2.0,0.0,21.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
53,2.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,12,8,63,7.875,10.0,10.0,27.0,19.0,27.0,19.0,14.0,46.0,23.333333333333332,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
